Marital status,Daytime/evening attendance,Nationality,course_name,Previous qualification,Mother's qualification,Father's qualification,Gender,Age at enrollment,enrollement_year,Number of semesters,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1,1,1,Management,1,2,14,0,18,2021,3,5,5,12.6,5,5,14,11.1,0.6,2.02,Graduate
1,1,1,Tourism,1,1,1,0,21,2019,5,6,3,11,6,2,11,9.4,-0.8,-3.12,Dropout
1,1,13,Management,1,13,14,0,19,2019,5,5,5,10.8,5,4,11.25,16.2,0.3,-0.92,Graduate
1,1,14,Animation and Multimedia Design,1,3,14,0,19,2019,5,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
1,1,1,Advertising and Marketing Management,1,23,28,0,19,2019,5,5,5,12.8,5,5,14.2,9.4,-0.8,-3.12,Graduate
1,1,1,Veterinary Nursing,1,13,28,0,19,2018,5,6,6,14.16666667,6,6,12.2,15.5,2.8,-4.06,Graduate
1,1,10,Oral Hygiene,1,1,1,0,19,2018,3,7,5,12.1,7,0,0,13.9,-0.3,0.79,Dropout
1,1,1,Veterinary Nursing,14,22,27,0,20,2021,3,6,6,14.16666667,6,5,13.77777778,12.4,0.5,1.79,Graduate
1,1,1,Basic Education,1,13,28,0,18,2020,5,6,5,12.8,6,5,13.4,9.4,-0.8,-3.12,Enrolled
1,1,1,Social Service,1,1,29,0,18,2022,3,6,6,13,6,6,13.66666667,12.4,0.5,1.79,Graduate
1,1,1,Nursing,1,1,27,0,19,2021,3,7,7,13.46714286,8,8,15.01111111,12.4,0.5,1.79,Graduate
1,1,1,Nursing,1,13,14,0,18,2022,5,7,7,13.2375,8,7,13.74285714,13.9,-0.3,0.79,Dropout
1,1,5,Communication Design,1,22,27,0,18,2018,5,6,6,12.33333333,6,6,13,7.6,2.6,0.32,Graduate
1,1,2,Management,1,1,14,0,19,2018,3,5,5,12.4,5,5,14.6,8.9,1.4,3.51,Graduate
1,1,1,Nursing,1,1,14,0,19,2022,5,7,5,14,7,0,0,13.9,-0.3,0.79,Dropout
1,1,1,Social Service,1,23,27,0,20,2020,3,9,9,11.66666667,7,7,11.71428571,7.6,2.6,0.32,Graduate
1,1,20,Advertising and Marketing Management,1,1,28,0,19,2018,3,6,5,12,6,4,12.5,12.4,0.5,1.79,Dropout
1,1,9,Advertising and Marketing Management,1,13,14,0,20,2019,5,5,4,12.2,5,4,11.5,7.6,2.6,0.32,Graduate
1,1,1,Journalism and Communication,1,1,1,0,18,2018,3,6,6,14.83333333,6,6,14.83333333,8.9,1.4,3.51,Graduate
1,1,12,Nursing,1,13,1,0,20,2022,3,7,5,13.188,8,7,12.89285714,11.1,0.6,2.02,Enrolled
1,1,1,Nursing,1,13,1,0,18,2018,3,7,7,17.125,8,8,17.5875,13.9,-0.3,0.79,Graduate
1,1,1,Nursing,1,22,27,0,19,2021,3,7,6,12.66666667,7,6,12.66666667,7.6,2.6,0.32,Graduate
1,1,1,Journalism and Communication,1,13,1,0,19,2021,5,6,6,12.66666667,6,5,12,12.4,0.5,1.79,Graduate
1,1,1,Management,1,3,1,0,22,2020,5,5,0,0,5,0,0,8.9,1.4,3.51,Enrolled
1,1,12,Social Service,1,1,10,0,19,2019,3,6,6,11.33333333,6,6,11.5,12.4,0.5,1.79,Graduate
1,1,9,Nursing,1,13,14,0,19,2018,3,7,7,13.605,8,8,12.33125,15.5,2.8,-4.06,Graduate
1,1,6,Basic Education,1,22,28,0,19,2019,3,6,5,12,6,5,10.8,9.4,-0.8,-3.12,Graduate
1,1,1,Tourism,1,10,14,0,19,2018,5,5,0,0,5,0,0,7.6,2.6,0.32,Dropout
1,1,7,Tourism,1,1,27,0,20,2019,3,6,5,11.2,6,3,11.66666667,7.6,2.6,0.32,Dropout
1,1,1,Management,1,3,14,0,18,2020,3,5,5,13.375,5,5,14.16666667,13.9,-0.3,0.79,Graduate
1,1,18,Nursing,1,1,14,0,20,2021,3,7,6,13.86333333,8,7,14.17857143,11.1,0.6,2.02,Graduate
1,1,2,Animation and Multimedia Design,1,3,27,0,18,2022,3,0,0,0,0,0,0,9.4,-0.8,-3.12,Enrolled
1,1,20,Veterinary Nursing,1,1,28,0,19,2022,5,5,5,12.4,5,5,13.4,7.6,2.6,0.32,Graduate
1,1,1,Basic Education,1,23,28,0,18,2019,5,6,3,12.33333333,6,5,10.83333333,9.4,-0.8,-3.12,Enrolled
1,1,1,Basic Education,1,22,27,0,18,2018,3,6,6,13.33333333,6,5,11.8,7.6,2.6,0.32,Graduate
1,1,1,Basic Education,1,3,27,0,21,2020,3,6,3,12.66666667,6,3,10,9.4,-0.8,-3.12,Dropout
1,1,18,Basic Education,1,23,27,0,19,2020,5,6,6,12,6,4,11.5,7.6,2.6,0.32,Dropout
1,1,1,Management,1,23,28,0,18,2019,5,5,5,10.6,5,5,11.8,12.4,0.5,1.79,Graduate
1,1,21,Social Service,1,1,27,0,18,2020,5,6,6,12.25,6,6,11.85714286,12.7,3.7,-1.7,Graduate
1,1,1,Social Service,1,13,1,0,20,2018,5,6,4,11,6,6,11.83333333,9.4,-0.8,-3.12,Graduate
1,0,15,Social Service (evening attendance),1,1,14,0,24,2020,3,6,5,11,6,5,12.6,11.1,0.6,2.02,Graduate
1,1,20,Advertising and Marketing Management,1,13,1,0,19,2019,5,6,6,13.16666667,6,6,13,10.8,1.4,1.74,Dropout
1,1,5,Nursing,1,13,27,0,18,2022,5,7,7,12.85555556,8,7,12.76111111,15.5,2.8,-4.06,Graduate
1,1,8,Nursing,1,13,14,0,18,2022,5,7,7,14.91875,8,8,15.355,15.5,2.8,-4.06,Graduate
1,1,1,Basic Education,1,10,10,0,21,2021,3,6,4,11.5,6,3,11,10.8,1.4,1.74,Dropout
1,1,3,Advertising and Marketing Management,1,1,14,0,19,2020,3,5,5,14.2,5,5,14.2,7.6,2.6,0.32,Graduate
1,1,19,Journalism and Communication,1,13,27,0,19,2021,3,6,6,12.5,6,6,13,15.5,2.8,-4.06,Graduate
3,1,1,Agronomy,1,1,27,0,47,2021,3,1,0,0,6,0,0,8.9,1.4,3.51,Enrolled
1,1,7,Social Service,1,13,14,0,19,2021,5,6,5,11.66666667,6,4,11,13.9,-0.3,0.79,Graduate
1,1,7,Nursing,3,2,2,0,29,2018,3,8,7,14.25714286,8,7,14.25714286,12.7,3.7,-1.7,Graduate
1,1,1,Social Service,1,13,14,0,21,2020,5,6,3,12,6,2,11.33333333,16.2,0.3,-0.92,Dropout
1,1,1,Veterinary Nursing,1,22,14,0,28,2022,3,5,4,11.25,5,4,10.5,12.7,3.7,-1.7,Enrolled
1,1,7,Oral Hygiene,1,22,27,0,20,2018,5,7,7,12.45714286,8,8,13.5625,15.5,2.8,-4.06,Graduate
1,1,1,Nursing,1,2,28,0,19,2019,5,7,6,11.68333333,7,6,11.68333333,7.6,2.6,0.32,Graduate
1,0,1,Social Service (evening attendance),1,13,2,0,26,2021,3,6,3,11.66666667,6,5,12,9.4,-0.8,-3.12,Graduate
1,1,1,Tourism,1,22,27,0,20,2020,3,6,4,11.75,6,6,13.16666667,11.1,0.6,2.02,Dropout
1,1,15,Advertising and Marketing Management,1,22,27,0,18,2019,5,5,3,11.66666667,5,4,13.5,7.6,2.6,0.32,Enrolled
1,1,1,Basic Education,1,22,14,0,27,2019,3,6,5,13.2,6,5,12,7.6,2.6,0.32,Graduate
1,1,1,Nursing,1,19,24,0,20,2022,3,7,4,11.95,7,4,11.95,7.6,2.6,0.32,Dropout
1,1,5,Basic Education,1,22,14,0,18,2020,3,6,5,12.4,6,5,10.4,9.4,-0.8,-3.12,Dropout
1,1,1,Nursing,3,1,1,0,33,2022,3,7,6,14.35,8,6,14.58333333,16.2,0.3,-0.92,Dropout
1,1,1,Basic Education,1,3,1,0,35,2018,5,21,21,12.61904762,19,19,12.78947368,12.4,0.5,1.79,Graduate
1,0,21,Management (evening attendance),14,22,14,0,26,2022,3,6,6,12.66666667,6,6,13.16666667,9.4,-0.8,-3.12,Enrolled
1,1,1,Journalism and Communication,12,13,14,0,27,2020,5,6,5,12,6,0,0,11.1,0.6,2.02,Dropout
1,1,1,Communication Design,1,1,27,0,19,2018,3,6,6,12.16666667,6,0,0,15.5,2.8,-4.06,Dropout
1,1,1,Tourism,1,1,14,0,20,2022,3,6,0,0,6,0,0,11.1,0.6,2.02,Dropout
1,1,1,Management,1,3,3,0,20,2021,3,5,3,10,5,3,10.57142857,10.8,1.4,1.74,Dropout
1,1,8,Social Service,1,1,27,0,21,2020,5,10,8,11.5,6,4,10,9.4,-0.8,-3.12,Enrolled
1,1,1,Nursing,1,23,1,0,18,2018,3,7,6,13.05,7,6,13.05,7.6,2.6,0.32,Graduate
1,1,6,Veterinary Nursing,1,1,14,0,24,2021,3,6,2,11,6,0,0,8.9,1.4,3.51,Dropout
1,1,1,Communication Design,1,1,3,0,20,2021,3,6,6,11.5,6,6,12,16.2,0.3,-0.92,Graduate
1,1,1,Tourism,1,13,28,0,21,2020,3,6,6,12,6,6,12.5,13.9,-0.3,0.79,Graduate
1,0,1,Social Service (evening attendance),1,1,27,0,23,2018,5,6,2,10,5,1,10,9.4,-0.8,-3.12,Enrolled
1,1,3,Management,1,10,3,0,24,2021,5,5,0,0,5,0,0,7.6,2.6,0.32,Dropout
1,1,3,Basic Education,1,1,1,0,21,2022,5,6,0,0,6,0,0,12.4,0.5,1.79,Dropout
1,1,6,Nursing,1,23,28,0,18,2019,3,8,7,12.24285714,8,7,12.24285714,12.7,3.7,-1.7,Graduate
1,0,21,Management (evening attendance),15,13,1,0,27,2020,3,5,0,0,5,0,0,8.9,1.4,3.51,Dropout
1,1,1,Nursing,1,22,27,0,18,2022,5,8,8,12.93375,8,8,12.93375,9.4,-0.8,-3.12,Graduate
1,1,9,Informatics Engineering,3,3,2,0,35,2018,5,5,0,0,5,0,0,13.9,-0.3,0.79,Dropout
1,1,1,Basic Education,1,13,14,0,18,2022,3,7,7,12.57142857,7,7,14.42857143,11.1,0.6,2.02,Graduate
1,1,1,Nursing,1,1,3,0,35,2018,3,3,3,11.81666667,3,3,11.33333333,11.1,0.6,2.02,Enrolled
1,1,10,Veterinary Nursing,1,1,1,0,19,2021,5,5,4,13.75,5,4,14.33333333,10.8,1.4,1.74,Graduate
1,1,18,Social Service,1,13,14,0,20,2022,3,6,6,11.16666667,6,6,11.33333333,7.6,2.6,0.32,Graduate
1,1,1,Nursing,1,13,14,0,18,2022,5,8,7,12.32428571,8,7,12.32428571,10.8,1.4,1.74,Graduate
1,1,20,Social Service,14,23,28,0,21,2021,3,6,6,12.16666667,6,6,11.71428571,13.9,-0.3,0.79,Graduate
1,1,2,Social Service,1,13,27,0,18,2020,5,6,5,11.14285714,6,4,11.25,16.2,0.3,-0.92,Graduate
1,1,1,Social Service,1,19,24,0,18,2018,5,6,4,11,6,4,10.75,7.6,2.6,0.32,Graduate
1,1,6,Nursing,1,13,28,0,18,2019,5,8,7,12.91428571,8,7,12.91428571,12.7,3.7,-1.7,Graduate
1,1,1,Journalism and Communication,1,3,14,0,18,2018,3,6,6,13.83333333,6,6,14.16666667,16.2,0.3,-0.92,Graduate
1,1,1,Veterinary Nursing,1,13,1,0,19,2019,3,6,6,13.85714286,6,5,13.4,13.9,-0.3,0.79,Graduate
1,1,8,Tourism,12,3,14,0,36,2020,5,6,6,13.71428571,6,5,12.8,16.2,0.3,-0.92,Dropout
1,1,1,Nursing,1,23,1,0,18,2020,5,8,7,12.64285714,8,7,12.64285714,12.7,3.7,-1.7,Graduate
1,1,13,Nursing,1,22,27,0,18,2020,5,7,6,12.91666667,7,6,12.91666667,7.6,2.6,0.32,Graduate
1,1,1,Equiniculture,1,1,3,0,20,2018,5,6,6,15.625,6,6,15.85714286,13.9,-0.3,0.79,Graduate
1,0,11,Management (evening attendance),1,22,27,0,26,2020,3,5,0,0,5,0,0,16.2,0.3,-0.92,Dropout
1,1,2,Journalism and Communication,1,1,1,0,21,2020,5,6,6,11.71428571,6,6,12,7.6,2.6,0.32,Graduate
1,1,1,Oral Hygiene,15,1,1,0,25,2021,5,7,6,12.125,8,8,13.3125,15.5,2.8,-4.06,Enrolled
1,1,9,Management,1,13,3,0,19,2018,5,5,5,11.6,5,5,11.6,12.4,0.5,1.79,Graduate
1,0,14,Social Service (evening attendance),1,13,27,0,24,2020,3,6,1,10,6,0,0,9.4,-0.8,-3.12,Dropout
1,0,12,Social Service (evening attendance),1,1,14,0,27,2022,5,6,1,10,6,0,0,8.9,1.4,3.51,Dropout
1,1,5,Veterinary Nursing,1,13,27,0,21,2020,5,5,0,0,5,2,13.5,7.6,2.6,0.32,Dropout
